dylib_name,device_name,usb_vid,usb_pid,paired_pid,protocol,device_type,has_battery,has_sidetone,has_eq,has_lighting
libvoid_usb_black_1.dylib,VOID USB,0x1B1C,0x0A0F,,Legacy,Headset,false,true,true,true
libvoid_usb_black_2.dylib,VOID USB,0x1B1C,0x1B2A,,Legacy,Headset,false,true,true,true
libvoid_usb_white.dylib,VOID USB,0x1B1C,0x1B29,,Legacy,Headset,false,true,true,true
libvoid_wireless_black.dylib,VOID WIRELESS,0x1B1C,0x0A0C,,Legacy,Headset,true,true,true,true
libvoid_wireless_carbon.dylib,VOID WIRELESS,0x1B1C,0x1B27,,Legacy,Headset,true,true,true,true
libvoid_wireless_white.dylib,VOID WIRELESS,0x1B1C,0x0A2B,,Legacy,Headset,true,true,true,true
libvoid_wireless_yellow.dylib,VOID WIRELESS,0x1B1C,0x1B23,,Legacy,Headset,true,true,true,true
libvoyager_a1600_keyboard.dylib,VOYAGER A1600 KEYBOARD,0x1B1C,0x1BD0,,Bragi,Keyboard,false,false,false,true
libvoyager_a1600_slipstream_module.dylib,VOYAGER A1600 SLIPSTREAM MODULE,0x1B1C,0x0D01,,Bragi,Dongle,false,false,false,true
libxeneon_32qhd165.dylib,XENEON 32QHD165,0x1B1C,0xF10E,,MCCS,Display,false,true,false,false
libxeneon_32qhd240.dylib,XENEON 32QHD240,0x1B1C,0x0D08,,MCCS,Display,false,true,false,false
libxeneon_32uhd144.dylib,XENEON 32UHD144,0x1B1C,0x0D05,,MCCS,Display,false,true,false,false
